GeneID	GSM8474242	GSM8474243	GSM8474244	GSM8474245	GSM8474246	GSM8474247
100287102	0	1	0	0	0	2
653635	327	655	202	234	262	265
102466751	8	49	9	16	12	5
107985730	2	1	0	0	1	0
100302278	0	0	0	1	0	0
645520	0	0	0	0	0	0
79501	0	0	0	0	0	0
100996442	113	101	71	77	59	66
729737	92	172	51	59	42	70
102725121	1	5	6	6	3	1
102723897	283	684	181	191	192	224
102465909	4	17	4	7	4	6
107985721	5	0	0	0	1	0
112268260	46	81	38	47	40	39
729759	0	4	1	1	0	1
100132287	140	287	98	132	85	90
105378947	2	13	7	14	5	3
101928626	0	0	1	1	0	0
113219467	36	328	31	151	30	7
81399	14	12	18	16	10	13
100133331	209	416	140	174	163	216
107984841	74	103	55	87	79	100
107984847	104	119	61	85	67	88
107984849	25	48	27	14	13	14
100288069	199	208	157	189	160	179
105378580	45	24	39	40	38	44
400728	26	1	9	15	21	6
79854	20	43	20	19	20	22
643837	730	997	644	892	731	972
107984850	0	0	2	0	2	0
284593	4	2	4	0	3	0
284600	33	91	64	15	13	5
100130417	170	378	91	30	28	41
107985728	148	744	118	43	42	30
148398	540	1356	329	256	249	232
26155	2144	3882	1497	1829	1744	2018
339451	163	654	111	156	98	121
84069	69	277	62	66	40	116
84808	27	30	23	12	10	10
57801	23	100	5	5	9	1
9636	101	169	47	102	91	91
375790	6898	27706	4763	5794	5132	5334
100288175	80	141	45	39	33	37
112267874	23	157	24	17	7	14
105378948	88	221	56	36	29	42
401934	0	3	0	5	4	0
54991	182	635	107	170	199	142
254099	0	0	0	0	0	0
406984	0	0	0	0	0	0
406983	0	0	0	0	0	0
554210	0	0	0	0	0	0
100506376	0	0	0	0	0	0
254173	0	3	0	0	1	0
8784	0	0	2	0	0	0
7293	1	1	0	0	0	0
51150	1758	4538	1203	1567	1677	1838
126792	279	706	181	191	204	221
388581	16	47	3	1	1	5
118424	673	1654	508	650	618	720
101928895	18	35	6	4	7	7
6339	28	108	32	16	17	21
116983	214	931	231	266	241	277
102465434	0	0	0	0	0	0
109623456	2	7	1	0	0	2
126789	55	387	87	69	51	64
54973	989	2248	682	755	823	872
102465435	3	22	4	0	1	3
80772	119	647	101	123	130	139
83756	3	9	5	5	10	4
1855	1120	4007	813	1330	1233	1284
102466740	0	13	3	4	5	7
54587	237	738	131	128	116	103
54998	387	1450	261	384	365	354
81669	3888	5840	3374	3185	2555	3193
148413	383	708	240	259	218	288
55052	782	1284	627	790	750	989
107984868	0	0	1	2	3	0
441869	0	3	1	0	0	9
105378585	0	0	0	0	0	0
643965	0	4	0	0	0	0
102724312	0	0	0	0	0	0
107985729	1	3	0	0	0	4
64856	140	591	82	66	63	65
219293	4	18	4	9	9	16
83858	368	764	234	445	337	407
55210	334	796	158	458	395	500
339453	4	28	0	1	0	2
29101	969	1425	590	779	792	908
643988	163	467	88	79	81	85
105378586	5	73	7	7	3	0
142678	428	2095	327	355	341	367
8510	7	17	5	8	11	18
984	1157	1428	884	1489	1316	1478
728661	1574	3248	1098	901	831	1020
8511	1	3	2	5	0	2
728642	927	1056	708	1133	989	1121
9906	1844	2592	1152	822	791	912
112268218	49	189	41	28	35	33
65220	1057	2005	611	802	773	833
2782	9835	12951	6890	9227	8817	10548
105378949	6	12	3	0	6	2
163688	1	4	8	0	0	1
339456	2	13	6	1	1	2
85452	1	0	0	0	0	3
107984872	0	15	0	0	0	1
105378589	0	0	0	0	0	0
2563	5	13	0	7	1	1
105378590	0	0	0	0	0	0
105378591	0	0	0	0	0	0
5590	588	1093	515	537	544	613
100506504	37	51	20	23	25	34
199990	234	862	214	191	207	229
112268219	37	126	33	37	33	43
105378593	5	11	6	0	0	0
6497	1323	2973	972	958	996	1108
79906	148	302	138	117	71	128
100129534	29	73	38	33	29	25
11079	1553	2500	1046	1490	1449	1508
5192	351	1172	225	341	319	332
9651	4	90	9	3	0	1
55229	470	919	309	355	446	466
388585	0	0	0	0	0	0
115110	0	7	1	5	0	0
8764	7	29	3	4	5	0
100996583	0	0	0	0	0	0
127281	466	1420	331	440	341	437
79258	87	215	40	47	35	45
105378597	0	1	0	0	0	0
100287898	6	6	11	0	0	7
105378603	0	0	0	0	0	0
105378602	0	0	0	0	0	0
105378601	0	0	0	0	0	0
112268220	0	0	0	0	0	0
107985732	0	0	0	0	0	0
105378600	0	0	0	0	0	0
105378598	0	0	0	0	0	0
107984904	0	0	0	0	0	0
105378599	0	0	0	0	0	0
140625	1	0	0	0	0	0
440556	0	0	0	0	0	0
63976	0	0	0	0	2	0
100422968	0	0	0	0	0	0
105378606	0	0	0	0	0	0
107984909	0	0	0	0	0	0
105378605	0	0	0	0	0	0
105378604	0	1	0	0	0	0
27237	52	142	29	57	50	32
1953	325	742	216	381	328	378
105378608	0	0	0	0	0	0
693135	0	0	0	0	0	0
105378607	0	0	2	0	0	0
127262	925	1228	578	670	665	782
49856	186	553	139	212	211	213
7161	19	12	9	25	15	4
105378610	0	0	0	0	0	9
105378609	0	0	0	0	0	0
57212	681	1230	469	564	515	593
148870	0	2	0	1	0	0
388588	1	27	2	3	0	0
57470	1141	2406	865	934	841	945
9731	1878	2309	1428	1610	1436	1632
1677	141	311	110	150	105	160
107984910	17	21	12	4	7	9
339448	622	768	441	754	703	852
100133612	2	6	1	9	7	0
728716	0	0	0	0	0	0
105376672	0	0	0	0	0	0
105376673	0	0	2	0	0	0
284661	0	0	0	0	0	0
105376674	0	0	0	0	0	0
105376679	1	0	0	0	0	0
107985376	0	0	0	0	0	3
55966	0	0	0	0	0	1
105376680	0	0	0	0	0	0
102724429	0	0	0	0	0	0
105376681	0	0	0	0	0	0
105376682	0	0	0	0	0	0
107984911	0	0	0	0	0	0
105376686	0	0	0	0	0	0
100616421	0	0	1	0	1	0
261734	511	1170	338	461	392	469
8514	18	33	8	12	13	19
26038	262	501	206	298	272	289
105376687	0	0	0	0	0	0
6146	14158	10109	10200	11439	10303	14162
107985733	267	134	174	155	123	199
102724450	9	3	2	1	0	3
388591	179	369	185	134	94	150
23463	2842	4137	1907	3235	3262	3619
148645	0	5	0	2	12	8
390992	0	0	2	0	0	0
387509	240	723	150	123	150	187
11332	513	1077	286	602	607	646
54626	1016	1892	623	391	340	393
83715	597	2608	475	332	257	290
100422975	0	0	0	0	0	0
8718	143	496	162	118	99	101
57449	569	1522	367	460	502	482
79707	1520	1831	1016	1088	972	1403
80835	0	4	0	0	0	1
107984912	0	0	0	0	0	1
3104	227	601	155	204	197	227
9903	541	1420	312	420	490	569
107984913	3	28	9	11	3	12
148479	740	1306	555	643	596	675
90326	446	881	318	361	332	347
55735	1801	2028	1165	1597	1572	1780
100505887	0	0	0	0	0	0
110841581	0	12	3	5	0	7
23261	1098	1300	848	1215	1097	1281
105376692	3	0	0	0	0	1
102725193	0	0	0	0	0	0
101928836	0	0	0	0	0	0
105376691	0	0	0	0	0	0
105376689	166	152	110	157	93	120
9341	3618	3636	2575	3177	2825	4000
8863	3176	3545	2510	2643	2403	2866
10911	2	14	4	2	2	2
3604	53	65	21	69	63	79
11315	4056	5044	2901	3845	3481	4039
54206	3284	4453	2807	4986	4412	5090
107984915	8	0	0	0	1	0
102724539	0	0	0	0	0	0
105376695	0	0	0	0	0	0
50651	4	10	0	2	0	0
473	3312	5017	2282	1992	1986	2274
102724552	11	1	0	1	2	0
106632271	0	0	2	1	1	0
2023	38982	72885	26669	34560	34893	38472
102465436	13	6	3	4	5	7
100505975	11	31	0	1	9	2
112268261	0	0	0	0	0	0
765	0	0	0	2	0	0
155184	0	0	0	0	0	0
6518	0	8	2	1	1	6
80045	428	650	296	321	354	337
106614088	3	5	1	0	2	4
407040	0	0	0	0	0	2
102724571	0	0	0	0	0	0
9563	2534	3977	1513	1189	1178	1191
80176	730	1745	604	471	585	533
100506022	5	42	10	16	5	11
84275	335	476	169	331	303	340
199953	419	1098	217	350	293	422
107985734	15	9	3	6	7	12
105376712	0	0	0	0	0	0
5293	203	262	84	120	99	167
644997	0	0	0	0	0	0
101929074	8	12	0	0	6	8
22883	6985	13214	4527	5675	5642	6733
56998	279	617	192	225	189	202
105376717	19	51	9	17	19	18
84328	1688	1650	1145	1371	1385	1594
64802	320	516	181	260	241	321
113391335	7	15	0	10	7	3
100847055	14	5	0	1	2	0
116362	12	18	11	9	11	10
10277	1803	2211	1339	1344	1314	1678
